c,MSEtrain,MSEtest
0.1,1.43930877064861e-05,1.22757241246812
0.12,1.78692109682052e-05,1.22449270190937
0.14,2.16026619537252e-05,1.22219045691496
0.16,2.5628018349549e-05,1.22086232788629
0.18,2.99870077152741e-05,1.22075245255982
0.2,3.47305340981753e-05,1.22216505818542
0.22,3.99214337417797e-05,1.22548056397733
0.23,4.27084544695369e-05,1.22799653846048
0.25,4.87240471998579e-05,1.2350977548862
0.27,5.54251555570511e-05,1.24553231922466
0.29,6.29581294302455e-05,1.26014001786844
0.31,7.15159999386513e-05,1.27996230475253
0.33,8.13577571850924e-05,1.30626475596121
0.35,9.28368418823218e-05,1.34052179059958
0.37,0.00010644316455144,1.38430230575828
0.39,0.000122863858030123,1.43893090612515
0.41,0.00014306637643337,1.50470498178667
0.43,0.000168397731393859,1.57940118707261
0.45,0.000200664889128735,1.65613173483963
0.46,0.00022008764492948,1.69141826614706
0.48,0.000267033545433024,1.74555095563924
0.5,0.000326707935889191,1.7654906572608
0.52,0.000400898987796613,1.74605611055356
0.54,0.000490596459482098,1.69570611764756
0.56,0.000596210986105342,1.62998309649548
0.58,0.000718036201281646,1.56279486988668
0.6,0.00085663231341171,1.50276883905933
0.62,0.00101303312556068,1.45390897171463
0.64,0.00118883936893166,1.41743505644628
0.66,0.00138627801149265,1.39324508706775
0.68,0.00160827540538714,1.38076676984482
0.69,0.00172961554042854,1.37872121690565
0.71,0.00199575181768354,1.38268298069494
0.73,0.00229767456518345,1.39707024584164
0.75,0.00264198899532849,1.42167816215017
0.77,0.00303697648228168,1.45646709336089
0.79,0.00349303570141786,1.50149485201749
0.81,0.0040232324190348,1.55679855325006
0.83,0.00464395019886448,1.62220037879957
0.85,0.00537558944672392,1.69699988807934
0.87,0.00624316862073445,1.77951626723138
0.89,0.00727651426697697,1.86648297122617
0.91,0.00850948633508559,1.95241763699313
0.93,0.00997747253805551,2.02932557119548
0.94,0.0108099200277149,2.06133920759101
0.96,0.0126875487324536,2.10617726184856
0.98,0.0148585403379309,2.11878245007061
1,0.0173165974613485,2.09572433767475
1.02,0.0200343559846314,2.03990836275312
1.04,0.022968216474711,1.95923446471758
1.06,0.0260667070361898,1.86351007260507
1.08,0.0292785961281638,1.76163791550897
1.1,0.0325582956949191,1.66020586691655
1.12,0.0358682137846295,1.5633469255318
1.14,0.039178936166321,1.47323683745623
1.16,0.0424682895069464,1.39072361101203
1.17,0.0440996816206762,1.35235038805781
1.19,0.0473280240981605,1.28117207426271
1.21,0.0505027478963782,1.21696666442198
1.23,0.0536172265939336,1.15909593744307
1.25,0.0566671320884202,1.10689675457111
1.27,0.0596498415477529,1.05973379938948
1.29,0.0625639912220879,1.01702410223274
1.31,0.0654091430189605,0.978245783263039
1.33,0.0681855359441797,0.942938311791562
1.35,0.070893900786828,0.910698683239518
1.37,0.0735353217553325,0.881175800122716
1.39,0.0761111329626903,0.854064376133576
1.41,0.078622840830549,0.829099078395864
1.42,0.0798551592339979,0.817347870202179
1.44,0.0822737738397616,0.795178375664287
1.46,0.0846324574654899,0.774632273540307
1.48,0.0869329473435281,0.755545337554694
1.5,0.0891769836343073,0.737773653666166
1.52,0.0913662935857491,0.721190787986027
1.54,0.0935025798479525,0.705685335410038
1.56,0.0955875119653189,0.691158874422518
1.58,0.0976227203034839,0.677524212434471
1.6,0.0996097918443855,0.664703874238921
1.62,0.101550267415145,0.652628870398417
1.64,0.103445640016524,0.6412375488935
1.65,0.104376865970733,0.635780809444528
1.67,0.106207276992564,0.625313355447994
1.69,0.107996104398136,0.615401997540113
1.71,0.109744671093599,0.606004414153474
1.73,0.111454252536416,0.597082369508898
1.75,0.113126077774334,0.588601282363762
1.77,0.114761330650558,0.580529764240367
1.79,0.116361151124306,0.572839303506034
1.81,0.117926636667088,0.565503934040086
1.83,0.119458843703864,0.558499945669539
1.85,0.120958789075176,0.551805683894309
1.87,0.12242745150181,0.545401295448231
1.88,0.123150347395761,0.542302057472894
1.9,0.124573840690517,0.53629882035404
1.92,0.125968340547629,0.530542669706454
1.94,0.127334703546433,0.525018826685326
1.96,0.128673754462695,0.519713641252021
1.98,0.129986287571546,0.514614519245131
2,0.131273067906357,0.509709788085663
